user_id,product_id,rating
4450142c-06c1-4e0a-aa50-0c711c241452,2c2a88dc-5276-4264-b564-e1c98c24a97a,4.2
4450142c-06c1-4e0a-aa50-0c711c241452,3e340c84-0655-4d4a-83b3-a8fd008a3d61,1.7
4450142c-06c1-4e0a-aa50-0c711c241452,6ceb6797-f53e-443e-bc95-ff32be0054e2,1.5
4450142c-06c1-4e0a-aa50-0c711c241452,7466687e-db76-4315-92b9-118d23445dc3,2
4450142c-06c1-4e0a-aa50-0c711c241452,74cea7ed-cdb0-417e-a50f-0d36c44a1181,3.7
4450142c-06c1-4e0a-aa50-0c711c241452,8d54e28f-00db-4bf9-b2f8-009afef03b2f,1
4450142c-06c1-4e0a-aa50-0c711c241452,a50c42f0-f0f0-41fe-8f28-9db75c2189dd,1
4450142c-06c1-4e0a-aa50-0c711c241452,b3afd26b-9fa2-4ee3-8bb8-30bdce974c0a,0
4450142c-06c1-4e0a-aa50-0c711c241452,b5dc6aa5-42ac-4123-a61e-7acc78c9249c,4.1
4450142c-06c1-4e0a-aa50-0c711c241452,bbd08cbc-3f47-4615-86e8-5beff76af5b7,1
4450142c-06c1-4e0a-aa50-0c711c241452,ccbb3abd-1b09-47a4-af2e-f2fe78d82ec4,0
4450142c-06c1-4e0a-aa50-0c711c241452,de3ca63f-d014-476f-8081-39f6eb4def4e,4.6
4450142c-06c1-4e0a-aa50-0c711c241452,eb36b930-f90a-4d31-9fd8-e22dc9aacf15,3.2
4450142c-06c1-4e0a-aa50-0c711c241452,eb4ddb4a-a68b-426c-b94b-3d2067b484c5,1
acac8096-25fa-4d90-8af7-b3febabc19df,2c2a88dc-5276-4264-b564-e1c98c24a97a,1.2
acac8096-25fa-4d90-8af7-b3febabc19df,3e340c84-0655-4d4a-83b3-a8fd008a3d61,4.1
acac8096-25fa-4d90-8af7-b3febabc19df,6ceb6797-f53e-443e-bc95-ff32be0054e2,4.4
acac8096-25fa-4d90-8af7-b3febabc19df,7466687e-db76-4315-92b9-118d23445dc3,5
acac8096-25fa-4d90-8af7-b3febabc19df,74cea7ed-cdb0-417e-a50f-0d36c44a1181,1
acac8096-25fa-4d90-8af7-b3febabc19df,8d54e28f-00db-4bf9-b2f8-009afef03b2f,1.7
acac8096-25fa-4d90-8af7-b3febabc19df,a50c42f0-f0f0-41fe-8f28-9db75c2189dd,1.3
acac8096-25fa-4d90-8af7-b3febabc19df,b3afd26b-9fa2-4ee3-8bb8-30bdce974c0a,0
acac8096-25fa-4d90-8af7-b3febabc19df,b5dc6aa5-42ac-4123-a61e-7acc78c9249c,1
acac8096-25fa-4d90-8af7-b3febabc19df,bbd08cbc-3f47-4615-86e8-5beff76af5b7,2
acac8096-25fa-4d90-8af7-b3febabc19df,ccbb3abd-1b09-47a4-af2e-f2fe78d82ec4,3.3
acac8096-25fa-4d90-8af7-b3febabc19df,de3ca63f-d014-476f-8081-39f6eb4def4e,1
acac8096-25fa-4d90-8af7-b3febabc19df,eb36b930-f90a-4d31-9fd8-e22dc9aacf15,1
acac8096-25fa-4d90-8af7-b3febabc19df,eb4ddb4a-a68b-426c-b94b-3d2067b484c5,2.4
d113cac8-9b63-4125-a03f-e4895a6b2b4b,2c2a88dc-5276-4264-b564-e1c98c24a97a,2.1
d113cac8-9b63-4125-a03f-e4895a6b2b4b,3e340c84-0655-4d4a-83b3-a8fd008a3d61,3
d113cac8-9b63-4125-a03f-e4895a6b2b4b,6ceb6797-f53e-443e-bc95-ff32be0054e2,1
d113cac8-9b63-4125-a03f-e4895a6b2b4b,7466687e-db76-4315-92b9-118d23445dc3,2.8
d113cac8-9b63-4125-a03f-e4895a6b2b4b,74cea7ed-cdb0-417e-a50f-0d36c44a1181,0
d113cac8-9b63-4125-a03f-e4895a6b2b4b,8d54e28f-00db-4bf9-b2f8-009afef03b2f,4.5
d113cac8-9b63-4125-a03f-e4895a6b2b4b,a50c42f0-f0f0-41fe-8f28-9db75c2189dd,3.8
d113cac8-9b63-4125-a03f-e4895a6b2b4b,b3afd26b-9fa2-4ee3-8bb8-30bdce974c0a,0
d113cac8-9b63-4125-a03f-e4895a6b2b4b,b5dc6aa5-42ac-4123-a61e-7acc78c9249c,4
d113cac8-9b63-4125-a03f-e4895a6b2b4b,bbd08cbc-3f47-4615-86e8-5beff76af5b7,4.2
d113cac8-9b63-4125-a03f-e4895a6b2b4b,ccbb3abd-1b09-47a4-af2e-f2fe78d82ec4,0
d113cac8-9b63-4125-a03f-e4895a6b2b4b,de3ca63f-d014-476f-8081-39f6eb4def4e,2
d113cac8-9b63-4125-a03f-e4895a6b2b4b,eb36b930-f90a-4d31-9fd8-e22dc9aacf15,2
d113cac8-9b63-4125-a03f-e4895a6b2b4b,eb4ddb4a-a68b-426c-b94b-3d2067b484c5,1









0,0,4.2
0,1,1.7
0,2,1.5
0,3,2
0,4,3.7
0,5,1
0,6,1
0,7,0
0,8,4.1
0,9,1
0,10,0
0,11,4.6
0,12,3.2
0,13,1
1,0,4.5
1,1,4.1
1,2,4.4
1,3,5
1,4,1
1,5,1.7
1,6,1.3
1,7,0
1,8,1
1,9,2
1,10,3.3
1,11,1
1,12,1
1,13,2.4
2,0,2.1
2,1,3
2,2,1
2,3,2.8
2,4,0
2,5,4.5
2,6,3.8
2,7,0
2,8,4
2,9,4.2
2,10,0
2,11,2
2,12,2
2,13,1